z[mm],hR[mm^-2],Layer
441.456342880375,0.00471869215873,0
536.575475836392,0.003359731242043,0
610.719291300673,0.002689847753753,0
698.638021975671,0.00201527811955,0
813.468924861181,0.001483475451229,0
919.793082050349,0.001108819155424,0
441.957054361432,0.004827415023484,1
536.661067542555,0.003446692415505,1
611.225352263366,0.002804005691848,1
699.106636566917,0.002091390544256,1
813.533118640804,0.001548696331326,1
920.25634715996,0.001179496506789,1
442.053345030867,0.004925246343629,2
536.730610803813,0.003517348368943,2
611.300245006259,0.002880096718628,2
698.787807461457,0.002167460173109,2
813.591962938791,0.001608482138081,2
919.9375180545,0.001255566135641,2
442.197781035018,0.005071993323847,3
536.853648881423,0.003642355055795,3
611.00281382734,0.002977906640847,3
698.964340355419,0.002346817593375,3
813.704302053131,0.00172261867825,3
919.677533247028,0.00139142157125,3
442.320819112628,0.005197000010699,4
537.024832293751,0.00381627740272,4
611.423283083869,0.00300510340548,4
699.438304428301,0.002428365091423,4
813.8059422042,0.001825885071737,4
919.763124953192,0.001478382744712,4
442.839718831245,0.005724202124814,5
537.595087036066,0.003995656220912,5
611.248889982561,0.003227920014551,5
699.189018584099,0.002575090673714,5
813.896883391999,0.00191828131854,5
920.285234360791,0.001608845902832,5
