run,count,eff_z0,effErr_z0,eff_z1,effErr_z1
1,1,97.245,0.115739,96.04,0.137898
2,2,97.7025,0.0749119,48.15,0.249829
3,3,98.0167,0.056921,32.1967,0.190746
4,4,97.9475,0.0501295,24.175,0.151372
5,5,97.916,0.0451727,19.355,0.124935
6,11,97.26,0.0348042,8.83091,0.0604944
7,21,96.0195,0.0301663,4.69738,0.0326479
8,31,94.635,0.0286164,3.23984,0.0224861
9,41,93.3895,0.0274384,2.49646,0.0172292
10,61,90.7563,0.0262229,1.7227,0.0117802
11,81,88.1661,0.025378,1.34654,0.00905542
12,101,85.6518,0.0246656,1.11371,0.00738378
