plane,count-1,avgEff,effError
0,0,97.055,0.119546
1,0,96.03,0.138065
0,1,97.105,0.118558
1,1,96.155,0.135962
0,2,96.965,0.121303
1,2,95.66,0.144077
0,3,96.655,0.127144
1,3,95.72,0.143123
0,4,96.675,0.126776
1,4,95.865,0.140784
0,10,95.94,0.139556
1,10,95.075,0.153011
0,20,94.3,0.163937
1,20,93.615,0.172877
0,30,93.16,0.178496
1,30,92.3,0.188509
0,40,92.28,0.188733
1,40,91.42,0.198038
0,60,89.57,0.216127
1,60,89.13,0.220096
0,80,86.635,0.240611
1,80,86.835,0.23908
0,100,84.215,0.257811
1,100,84.555,0.255534
