plane,count-1,avgEff,effError
0,0,96.405,0.131639
1,0,95.47,0.147051
0,1,96.405,0.131639
1,1,95.255,0.15033
0,2,96.455,0.130754
1,2,95.53,0.14612
0,3,96.405,0.131639
1,3,95.235,0.150631
0,4,96.195,0.135282
1,4,95.43,0.147668
0,10,95.915,0.139967
1,10,95.035,0.153598
0,20,95.195,0.15123
1,20,94.155,0.165882
0,30,94.725,0.158062
1,30,93.77,0.170907
0,40,93.94,0.168712
1,40,93.18,0.178254
0,60,92.795,0.182837
1,60,91.53,0.196883
0,80,91.86,0.193357
1,80,90.725,0.205119
0,100,90.715,0.205218
1,100,89.49,0.216857
