plane,count-1,avgEff,effError
0,0,97.83,0.103027
1,0,97.8,0.103721
0,1,97.685,0.106335
1,1,97.55,0.109315
0,2,97.725,0.105433
1,2,97.615,0.107892
0,3,97.86,0.102328
1,3,97.795,0.103836
0,4,97.92,0.100914
1,4,97.855,0.102445
0,10,97.31,0.114404
1,10,97.11,0.118458
0,20,97.055,0.119546
1,20,96.945,0.12169
0,30,96.09,0.137061
1,30,96.05,0.137731
0,40,95.44,0.147514
1,40,95.385,0.148358
0,60,94.505,0.161137
1,60,94.355,0.163192
0,80,93.03,0.180058
1,80,93.08,0.179459
0,100,91.63,0.195824
1,100,91.705,0.195025
