plane,count-1,avgEff,effError
0,0,97.905,0.10127
1,0,97.95,0.100199
0,1,98.01,0.0987522
1,1,97.945,0.100319
0,2,97.855,0.102445
1,2,97.755,0.104752
0,3,97.54,0.109533
1,3,97.645,0.107227
0,4,97.615,0.107892
1,4,97.56,0.109098
0,10,97.03,0.120037
1,10,96.835,0.123791
0,20,95.94,0.139556
1,20,96.075,0.137312
0,30,94.585,0.160028
1,30,94.69,0.158557
0,40,93.775,0.170843
1,40,93.875,0.169556
0,60,91.545,0.196725
1,60,91.675,0.195345
0,80,89.795,0.214051
1,80,89.84,0.213632
0,100,87.705,0.2322
1,100,87.545,0.233492
