plane,count-1,avgEff,effError
0,0,98.75,0.0785613
1,0,98.76,0.0782504
0,1,98.575,0.0838061
1,1,98.635,0.0820478
0,2,98.465,0.0869321
1,2,98.485,0.0863727
0,3,98.545,0.0846708
1,3,98.415,0.0883141
0,4,98.3,0.0914084
1,4,98.305,0.0912762
0,10,97.795,0.103836
1,10,97.835,0.102911
0,20,96.76,0.1252
1,20,96.55,0.129054
0,30,95.655,0.144156
1,30,95.72,0.143123
0,40,94.695,0.158486
1,40,94.355,0.163192
0,60,92.04,0.191395
1,60,92.495,0.186303
0,80,90.425,0.208065
1,80,90.785,0.204522
0,100,88.705,0.223822
1,100,88.575,0.224941
