plane,count-1,avgEff,effError
0,0,98.885,0.0742485
1,0,98.855,0.0752293
0,1,98.585,0.0835158
1,1,98.585,0.0835158
0,2,98.48,0.0865129
1,2,98.43,0.087902
0,3,98.55,0.0845274
1,3,98.585,0.0835158
0,4,98.35,0.0900771
1,4,98.395,0.0888606
0,10,97.785,0.104066
1,10,97.89,0.101624
0,20,96.745,0.12548
1,20,96.54,0.129234
0,30,95.585,0.14526
1,30,95.41,0.147975
0,40,94.575,0.160167
1,40,94.825,0.15664
0,60,92.525,0.18596
1,60,92.49,0.18636
0,80,90.365,0.208646
1,80,90.72,0.205168
0,100,88.095,0.228995
1,100,88.16,0.228453
