plane,count-1,avgEff,effError
0,0,96.6,0.128148
1,0,95.715,0.143202
0,1,96.305,0.133388
1,1,95.575,0.145417
0,2,96.33,0.132953
1,2,95.46,0.147205
0,3,96.13,0.136386
1,3,94.955,0.154766
0,4,96.02,0.138232
1,4,95.16,0.151752
0,10,95.505,0.146509
1,10,94.495,0.161275
0,20,94.285,0.16414
1,20,93.61,0.17294
0,30,93.445,0.175005
1,30,92.46,0.186701
0,40,92.26,0.188957
1,40,91.41,0.198143
0,60,90.13,0.210901
1,60,89.545,0.216355
0,80,88.54,0.225241
1,80,87.8,0.231426
0,100,86.21,0.243807
1,100,85.92,0.245942
