plane,count-1,avgEff,effError
0,0,97.34,0.113781
1,0,96.245,0.134425
0,1,97.295,0.114713
1,1,96.195,0.135282
0,2,96.65,0.127236
1,2,96.02,0.138232
0,3,96.57,0.128692
1,3,95.815,0.141596
0,4,96.775,0.12492
1,4,96.02,0.138232
0,10,95.955,0.139309
1,10,95.17,0.151603
0,20,94.81,0.156854
1,20,94.03,0.167535
0,30,93.275,0.177098
1,30,92.425,0.187099
0,40,92.06,0.191175
1,40,91.57,0.196461
0,60,89.245,0.21907
1,60,88.895,0.222169
0,80,87.005,0.237764
1,80,86.9,0.238578
0,100,84.395,0.256611
1,100,84.3,0.257246
